step,event_type,details
5,birth,new frog
6,birth,new frog
6,birth,new frog
6,birth,new frog
6,birth,new frog
6,death,frog died
7,birth,new frog
7,birth,new frog
7,death,frog died
9,birth,new frog
9,predator_kill,frog eaten
9,death,frog died
10,birth,new frog
10,birth,new frog
10,birth,new frog
10,predator_kill,frog eaten
10,death,frog died
10,predator_kill,frog eaten
10,death,frog died
11,birth,new frog
11,birth,new frog
11,birth,new frog
11,birth,new frog
11,birth,new frog
11,predator_kill,frog eaten
11,death,frog died
12,birth,new frog
12,birth,new frog
12,birth,new frog
12,birth,new frog
12,birth,new frog
12,birth,new frog
13,predator_kill,frog eaten
13,death,frog died
13,predator_kill,frog eaten
13,death,frog died
14,birth,new frog
14,birth,new frog
14,birth,new frog
14,death,frog died
15,birth,new frog
15,predator_kill,frog eaten
15,death,frog died
15,predator_kill,frog eaten
15,death,frog died
16,birth,new frog
16,birth,new frog
16,birth,new frog
16,birth,new frog
18,death,frog died
19,predator_kill,frog eaten
19,death,frog died
19,death,frog died
19,death,frog died
20,predator_kill,frog eaten
20,death,frog died
20,predator_kill,frog eaten
20,death,frog died
23,predator_kill,frog eaten
23,death,frog died
25,predator_kill,frog eaten
25,death,frog died
26,predator_kill,frog eaten
26,death,frog died
26,predator_kill,frog eaten
26,death,frog died
28,death,frog died
29,death,frog died
29,death,frog died
29,death,frog died
29,death,frog died
30,predator_kill,frog eaten
30,death,frog died
30,death,frog died
31,death,frog died
33,predator_kill,frog eaten
33,death,frog died
33,predator_kill,frog eaten
33,death,frog died
35,death,frog died
35,death,frog died
36,death,frog died
36,death,frog died
36,death,frog died
36,death,frog died
36,predator_kill,frog eaten
36,death,frog died
37,death,frog died
37,death,frog died
37,death,frog died
38,predator_kill,frog eaten
38,death,frog died
38,predator_kill,frog eaten
38,death,frog died
38,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
39,death,frog died
40,death,frog died
41,death,frog died
41,death,frog died
41,death,frog died
42,death,frog died
42,predator_kill,frog eaten
42,death,frog died
42,death,frog died
42,death,frog died
43,predator_kill,frog eaten
43,death,frog died
43,death,frog died
44,death,frog died
45,birth,new frog
45,birth,new frog
45,birth,new frog
45,birth,new frog
45,predator_kill,frog eaten
45,death,frog died
46,birth,new frog
46,birth,new frog
46,birth,new frog
46,birth,new frog
46,birth,new frog
46,birth,new frog
47,birth,new frog
47,birth,new frog
47,birth,new frog
47,birth,new frog
48,birth,new frog
48,birth,new frog
48,birth,new frog
48,birth,new frog
